,months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
143,22,250/500,2000,1238.62,6000000,MALE,MD,exec-managerial,other-relative,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,NO,2,3,NO,7080,14160,49560,Y
144,106,500/1000,2000,1320.75,0,FEMALE,JD,farming-fishing,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,NO,0,3,YES,5070,5070,35490,N
145,398,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,YES,2,1,NO,7640,15280,76400,Y
146,214,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,0,NO,12800,6400,44800,Y
147,209,100/300,500,1355.08,0,FEMALE,MD,other-service,other-relative,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,NO,1,1,NO,4730,4730,37840,N
148,82,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,2,3,NO,8960,8960,53760,Y
149,193,250/500,500,847.03,0,FEMALE,JD,craft-repair,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,NO,1,0,YES,17280,17280,77760,Y
150,134,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,NO,1,0,NO,7520,15040,60160,N
151,288,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,NO,2,1,NO,10680,5340,32040,N
152,104,250/500,500,1158.03,0,MALE,High School,exec-managerial,own-child,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,YES,1,3,YES,9780,9780,44010,Y
153,431,100/300,1000,1372.27,0,FEMALE,Masters,craft-repair,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,NO,10540,10540,42160,N
154,101,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,1,3,NO,9040,9040,36160,Y
155,375,100/300,1000,1275.39,0,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,2,3,NO,0,0,37280,Y
156,461,100/300,2000,1402.75,0,MALE,JD,exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,NO,2,1,YES,7210,14420,50470,N
157,428,250/500,500,1344.36,7000000,FEMALE,JD,prof-specialty,other-relative,0,0,Parked Car,Rear Collision,Minor Damage,None,8,1,NO,2,3,NO,1300,650,4550,N
158,45,100/300,1000,1197.71,0,MALE,Masters,machine-op-inspct,not-in-family,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,NO,2,0,NO,13040,13040,52160,N
159,136,100/300,500,1203.24,0,FEMALE,JD,transport-moving,other-relative,62500,-66900,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,NO,2,0,NO,1240,620,4340,N
160,216,500/1000,1000,1152.4,0,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,Parked Car,Rear Collision,Minor Damage,Police,0,1,YES,2,3,NO,560,1680,3920,N
161,278,500/1000,2000,1142.62,7000000,FEMALE,MD,farming-fishing,not-in-family,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,NO,2,0,NO,11700,11700,52650,N
162,295,500/1000,1000,1332.07,0,FEMALE,MD,exec-managerial,unmarried,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,13240,13240,59580,N
163,112,500/1000,1000,1166.54,0,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,YES,2,0,NO,10790,21580,75530,Y
164,122,250/500,500,1495.06,0,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,18180,18180,63630,N
165,108,500/1000,1000,1337.92,0,FEMALE,PhD,armed-forces,not-in-family,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,11160,5580,44640,N
166,14,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,NO,2,1,YES,12960,12960,45360,Y
167,298,500/1000,1000,1362.29,0,MALE,High School,farming-fishing,unmarried,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,12800,6400,44800,N
168,276,250/500,500,1448.84,0,FEMALE,Masters,machine-op-inspct,husband,0,-50000,Parked Car,Rear Collision,Trivial Damage,Police,7,1,NO,0,1,NO,660,660,4620,N
169,47,250/500,2000,1241.97,0,MALE,High School,other-service,not-in-family,75400,0,Parked Car,Rear Collision,Minor Damage,None,18,1,NO,1,0,NO,670,670,5360,N
170,222,250/500,500,1124.6,0,MALE,Associate,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,NO,11940,7960,31840,N
171,119,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,NO,0,1,YES,6700,6700,40200,Y
172,73,250/500,1000,1447.78,0,MALE,College,protective-serv,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,NO,4990,4990,34930,N
173,8,250/500,500,1229.16,4000000,FEMALE,MD,transport-moving,wife,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,NO,0,2,YES,11100,7400,29600,N
174,294,100/300,1000,1226.49,0,FEMALE,PhD,farming-fishing,unmarried,53900,0,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,NO,0,1,NO,610,1220,4270,N
175,324,100/300,2000,897.89,6000000,MALE,MD,tech-support,wife,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,NO,1,0,YES,15920,15920,47760,N
176,155,100/300,500,1706.79,0,MALE,Masters,protective-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,8560,8560,59920,N
177,261,250/500,1000,1254.18,0,FEMALE,PhD,prof-specialty,other-relative,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,NO,11380,11380,39830,N
178,245,500/1000,500,885.08,0,FEMALE,Masters,armed-forces,other-relative,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,0,1,NO,13100,13100,58950,N
179,235,100/300,500,1046.58,4000000,MALE,MD,tech-support,wife,0,-31700,Vehicle Theft,Rear Collision,Trivial Damage,None,1,1,NO,2,1,NO,450,900,3600,N
180,53,500/1000,2000,1712.68,0,MALE,Associate,handlers-cleaners,not-in-family,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,NO,2,0,YES,10220,5110,35770,N
181,426,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,NO,16800,16800,67200,N
182,111,250/500,500,1363.77,4000000,FEMALE,Masters,tech-support,husband,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,2,3,NO,16540,16540,57890,N
183,86,100/300,500,1382.88,7000000,MALE,JD,tech-support,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,NO,1,1,YES,14880,7440,59520,Y
184,296,100/300,1000,1141.35,7000000,MALE,Masters,craft-repair,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,NO,0,2,NO,5490,5490,43920,N
185,125,500/1000,500,1054.83,7000000,MALE,JD,tech-support,husband,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,8060,16120,64480,Y
186,177,100/300,2000,1057.77,0,FEMALE,JD,tech-support,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,1,1,NO,2250,2250,13500,N
187,238,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,other-relative,0,-39200,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,YES,1,3,YES,1100,550,3850,N
188,81,100/300,500,920.3,5000000,FEMALE,High School,tech-support,own-child,51000,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,NO,1,0,NO,13440,6720,53760,Y
189,128,500/1000,1000,986.53,0,FEMALE,High School,adm-clerical,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,18520,18520,64820,N
190,449,250/500,2000,1440.68,0,MALE,Associate,tech-support,own-child,25000,0,Parked Car,Rear Collision,Minor Damage,None,8,1,YES,0,1,YES,980,980,3430,N
191,252,250/500,1000,1086.21,0,MALE,JD,farming-fishing,unmarried,68500,-57500,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,1,2,NO,5610,5610,39270,N
192,359,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,5550,11100,38850,N
193,19,500/1000,1000,1215.85,0,MALE,High School,other-service,husband,42900,-90200,Vehicle Theft,Rear Collision,Minor Damage,Police,8,1,YES,1,1,YES,1280,640,5120,N
194,73,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,not-in-family,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,NO,0,1,YES,5020,0,35140,N
195,285,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,6960,6960,41760,N
196,196,250/500,2000,1463.07,0,MALE,MD,armed-forces,own-child,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,3,1,NO,1,1,NO,530,530,4240,Y
197,223,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,not-in-family,0,0,Parked Car,Rear Collision,Trivial Damage,None,6,1,YES,0,3,NO,650,650,3900,N
198,328,250/500,500,1411.43,0,MALE,Masters,armed-forces,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,5940,11880,41580,N
199,285,100/300,2000,1512.58,0,FEMALE,College,sales,other-relative,47600,0,Vehicle Theft,Rear Collision,Minor Damage,Police,7,1,NO,1,1,NO,280,280,1960,N
200,30,250/500,2000,1153.35,0,MALE,PhD,craft-repair,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,9,1,NO,2,1,YES,960,960,3840,N
201,342,250/500,500,1722.95,0,MALE,PhD,transport-moving,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,NO,2,0,YES,7670,7670,61360,N
202,219,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,unmarried,0,0,Parked Car,Rear Collision,Trivial Damage,Police,6,1,NO,0,2,NO,740,740,4440,N
203,468,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,NO,7150,7150,50050,N
204,241,250/500,2000,1042.26,0,MALE,JD,sales,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,NO,4240,2120,12720,N
205,223,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,5440,5440,43520,N
206,128,100/300,2000,768.91,0,FEMALE,College,sales,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,NO,1,0,NO,5980,5980,47840,Y
207,124,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,NO,0,3,YES,7200,7200,57600,N
208,343,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,2,3,NO,7230,14460,43380,N
209,404,250/500,500,767.14,0,MALE,Associate,sales,not-in-family,25500,-36700,Parked Car,Rear Collision,Trivial Damage,Police,8,1,NO,0,1,NO,1760,880,6160,N
210,63,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,7,1,NO,2,0,NO,1020,1020,4080,N
211,210,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,not-in-family,59900,0,Vehicle Theft,Rear Collision,Trivial Damage,None,9,1,NO,1,2,NO,1180,590,5310,N
212,335,100/300,1000,1538.26,6000000,MALE,High School,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,8580,4290,21450,N
213,11,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,NO,1,0,NO,9720,9720,34020,Y
214,142,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,NO,6780,13560,61020,Y
215,272,100/300,1000,1279.13,0,MALE,PhD,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,NO,1,2,YES,7370,14740,58960,Y
216,69,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,5260,10520,47340,N
217,38,250/500,1000,1019.44,0,MALE,Masters,transport-moving,not-in-family,0,-39700,Vehicle Theft,Rear Collision,Trivial Damage,None,17,1,NO,2,1,NO,1440,720,5040,N
218,328,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,NO,2,3,NO,12780,6390,51120,Y
219,281,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,9260,9260,41670,N
220,246,250/500,2000,1649.18,0,MALE,College,farming-fishing,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,11160,5580,44640,Y
221,298,250/500,500,1451.01,0,FEMALE,College,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,2810,5620,19670,N
222,330,500/1000,1000,978.46,0,FEMALE,High School,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,8920,8920,31220,N
223,362,250/500,500,1198.34,4000000,MALE,Associate,sales,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,NO,1,1,NO,6340,6340,44380,N
224,241,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,NO,0,3,YES,12980,12980,51920,N
225,245,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,7350,14700,51450,N
226,371,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,NO,6840,13680,68400,N
227,343,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,NO,0,2,NO,12990,4330,30310,Y
228,377,100/300,500,1693.63,0,FEMALE,MD,craft-repair,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,6560,6560,45920,N
229,154,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,NO,0,3,NO,14460,7230,57840,N
230,166,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,0,2,YES,4880,4880,43920,N
231,298,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,2,3,YES,3050,6100,24400,N
232,235,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,NO,2,1,YES,6910,6910,55280,N
233,172,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,NO,2,0,NO,14500,14500,50750,N
234,27,100/300,2000,1371.78,0,MALE,JD,farming-fishing,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,NO,0,2,YES,5360,10720,37520,Y
235,428,100/300,2000,1506.21,0,MALE,Masters,transport-moving,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,NO,12760,6380,57420,N
236,99,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,4570,4570,31990,N
237,107,500/1000,2000,932.14,0,MALE,MD,sales,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,14300,7150,57200,Y
238,272,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,NO,1,1,NO,6460,12920,51680,N
239,151,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,NO,3530,3530,31770,N
240,249,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,NO,0,0,YES,5350,5350,42800,N
241,177,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,2,0,NO,7370,7370,58960,Y
242,190,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,other-relative,36900,-53700,Parked Car,Rear Collision,Trivial Damage,None,10,1,NO,2,1,YES,630,630,5040,N
243,174,100/300,2000,1278.75,0,FEMALE,College,tech-support,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,2,2,NO,10900,10900,43600,N
244,95,250/500,1000,773.99,0,MALE,Associate,armed-forces,other-relative,0,-70300,Vehicle Theft,Rear Collision,Trivial Damage,None,3,1,YES,1,2,NO,640,320,2240,N
245,371,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,7540,15080,52780,Y
246,2,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,6460,6460,45220,N
247,269,100/300,500,1297.75,4000000,FEMALE,JD,other-service,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,NO,0,1,NO,15180,15180,68310,Y
248,101,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,other-relative,25900,0,Parked Car,Rear Collision,Minor Damage,None,7,1,NO,0,3,NO,1180,590,4130,N
249,94,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,NO,1,3,YES,6410,6410,51280,N
250,117,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,NO,5040,10080,40320,Y
251,111,250/500,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,1,2,NO,7350,14700,58800,Y
252,242,100/300,500,1238.65,0,FEMALE,High School,transport-moving,husband,0,-44600,Vehicle Theft,Rear Collision,Trivial Damage,Police,5,1,YES,1,1,NO,680,680,6120,N
253,440,250/500,500,1050.76,0,MALE,PhD,transport-moving,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,NO,2,3,NO,5960,5960,41720,Y
254,20,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,NO,2,2,NO,5750,11500,46000,Y
255,461,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,NO,0,1,NO,9840,9840,39360,N
256,208,250/500,500,1153.49,0,MALE,Associate,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,10100,5050,35350,N
257,279,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,6410,12820,38460,Y
258,244,100/300,500,1342.8,0,FEMALE,MD,sales,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,2,1,YES,1,3,YES,660,660,4620,N
259,134,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,YES,5310,5310,37170,Y
260,122,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,Parked Car,Rear Collision,Trivial Damage,None,17,1,NO,0,1,NO,350,350,3150,N
261,156,100/300,2000,1134.08,0,MALE,PhD,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,NO,2,0,NO,5900,5900,47200,Y
262,232,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,0,1,NO,7060,14120,49420,Y
263,244,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,NO,1,1,NO,5590,11180,44720,N
264,84,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,5240,10480,41920,N
265,394,250/500,500,1401.2,0,FEMALE,High School,craft-repair,own-child,51500,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,9,1,NO,1,0,NO,1060,1060,4770,N
266,246,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,NO,2,2,NO,11840,5920,35520,Y
267,35,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,NO,15660,7830,54810,N
268,156,100/300,500,1080.13,0,MALE,Associate,protective-serv,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,4610,4610,32270,N
269,195,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,YES,2,3,YES,12540,6270,50160,N
270,369,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,husband,55400,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,NO,2,0,YES,17060,8530,59710,N
271,271,100/300,1000,1251.65,0,FEMALE,Associate,other-service,wife,71200,0,Parked Car,Rear Collision,Minor Damage,None,6,1,NO,0,0,NO,560,280,2240,N
272,332,100/300,2000,1083.01,0,MALE,MD,craft-repair,other-relative,91900,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,NO,11040,11040,49680,Y
273,107,100/300,500,974.59,0,FEMALE,JD,armed-forces,wife,62800,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,NO,1,0,NO,11940,11940,35820,N
274,217,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,other-relative,49900,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,0,2,NO,10820,10820,43280,N
275,243,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,NO,0,1,NO,4170,4170,29190,N
276,296,250/500,2000,1219.27,0,MALE,Associate,tech-support,husband,53100,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,YES,1,2,NO,7120,7120,49840,N
277,264,100/300,500,1411.3,0,MALE,PhD,prof-specialty,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,NO,10980,5490,43920,Y
278,108,100/300,2000,694.45,0,FEMALE,JD,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,NO,0,1,YES,5850,11700,46800,Y
279,32,100/300,500,1006.77,6000000,FEMALE,College,other-service,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,2,1,YES,14180,7090,49630,N
280,259,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,NO,7760,7760,31040,N
281,186,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,wife,37600,-37600,Vehicle Theft,Rear Collision,Trivial Damage,Police,3,1,NO,2,1,NO,860,860,3010,Y
282,201,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,14,1,YES,0,0,YES,1240,1240,4340,N
283,436,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,NO,0,2,NO,11980,5990,41930,Y
284,189,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,own-child,0,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,NO,1,3,YES,13260,13260,53040,N
285,105,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,not-in-family,0,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,NO,12780,6390,51120,N
286,163,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,not-in-family,26900,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,5810,11620,46480,N
